owner,type_detailed,type,return_abnormal_1d,Senator,Party,Occupation,Age,In_Office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
Joint,Sale (Partial),Sale,0.001569233,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.001569233,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.014692067,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Full),Sale,0.012554206,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Full),Sale,-0.004664027,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Full),Sale,-0.014679063,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Full),Sale,0.000813718,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Purchase,Purchase,0.015721158,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.054862217,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,-0.002971009,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Sale (Partial),Sale,-0.014070813,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.017269882,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.018661484,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,0.022701962,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Purchase,Purchase,0.015007558,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,0.000147224,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Purchase,Purchase,0.015007558,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Partial),Sale,-0.005561476,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Sale (Partial),Sale,-0.005321103,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Self,Sale (Full),Sale,0.000695581,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Spouse,Sale (Full),Sale,-0.005576473,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Self,Sale (Full),Sale,0.011219366,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Joint,Sale (Full),Sale,0.004720389,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.000489098,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,-0.008237235,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Partial),Sale,0.013739629,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.001149413,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,0.019472312,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Purchase,Purchase,0.007027778,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Sale (Partial),Sale,-0.00073302,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.022845937,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.018383756,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.018383756,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.023845434,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.005280504,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Partial),Sale,0.033917192,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Sale (Partial),Sale,-0.025097091,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Self,Sale (Partial),Sale,-0.002288623,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Self,Sale (Full),Sale,-0.005482968,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Self,Sale (Full),Sale,-0.001084197,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Joint,Purchase,Purchase,0.014914599,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.042300767,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Self,Sale (Full),Sale,-0.005857774,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Self,Sale (Partial),Sale,-0.018266277,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Spouse,Sale (Partial),Sale,0.056925564,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.022042505,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Partial),Sale,0.003772169,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.013023977,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Self,Purchase,Purchase,0.013482505,John Hoeven,Republican,Banker,63,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Spouse,Sale (Partial),Sale,-0.015944341,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,-0.026264984,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Full),Sale,0.006852426,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,0.001612521,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.001612521,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Partial),Sale,0.00853747,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Sale (Partial),Sale,-0.006355478,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Sale (Partial),Sale,0.015361157,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Sale (Partial),Sale,-0.012062623,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,0.005720797,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.002632567,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,-0.008972181,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,0.044287444,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,0.010749201,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.00599048,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,-0.056799586,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,-0.029095866,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.029095866,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.000525717,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.022211813,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.022211813,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.030725092,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.012373943,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.012373943,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.001237969,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.029076272,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,0.004764806,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.017229269,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Full),Sale,-0.000434484,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.034159479,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Purchase,Purchase,0.010839383,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Purchase,Purchase,-0.005054542,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Sale (Full),Sale,-0.025867703,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,-0.002992987,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Self,Sale (Full),Sale,-0.010565515,Sheldon Whitehouse,Democratic,Lawyer; United States Attorney,65,13,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Self,Purchase,Purchase,0.037609368,Sheldon Whitehouse,Democratic,Lawyer; United States Attorney,65,13,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Joint,Sale (Partial),Sale,0.008695616,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.008695616,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.014578254,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,0.010245707,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.002089534,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Self,Purchase,Purchase,-0.012964616,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Purchase,Purchase,-0.021156767,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Sale (Partial),Sale,-0.058507824,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.00579444,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.003295192,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.003295192,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.002125927,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.000919821,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.070536646,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.026079503,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.026079503,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.013421553,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.013421553,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.006246357,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.004634393,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.009014344,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Self,Sale (Partial),Sale,-0.007493225,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Joint,Sale (Partial),Sale,0.006926948,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.017765657,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.017765657,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.017765657,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.014043637,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.020049181,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,0.001662882,Tom Carper,Democratic,"U.S. Navy officer; Staff, Delaware Office of Economic Development",73,19,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Spouse,Purchase,Purchase,0.001662882,Tom Carper,Democratic,"U.S. Navy officer; Staff, Delaware Office of Economic Development",73,19,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Spouse,Sale (Full),Sale,-0.008471356,Tom Carper,Democratic,"U.S. Navy officer; Staff, Delaware Office of Economic Development",73,19,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Spouse,Sale (Full),Sale,-0.008471356,Tom Carper,Democratic,"U.S. Navy officer; Staff, Delaware Office of Economic Development",73,19,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Joint,Sale (Partial),Sale,0.014378051,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.011176629,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.000718798,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.018475169,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.026173558,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,0.010237636,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.012665255,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,-0.012458938,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.030733742,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.019786156,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.012458938,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.018475169,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.02744351,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.019786156,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.012458938,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.030908555,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.00757169,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.020176247,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.001324393,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.054248501,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.030908555,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.001324393,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.001324393,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.030419695,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.001324393,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.021678286,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.021678286,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.027866264,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.025453137,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.001153297,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,0.012919799,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Full),Sale,-0.034356155,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,0.009596592,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Sale (Partial),Sale,0.014180637,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Sale (Partial),Sale,-0.021575782,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Spouse,Purchase,Purchase,0.021575782,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.025453137,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.006383056,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.020806188,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Full),Sale,-0.006383056,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.003029119,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.025453137,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.003029119,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.027866264,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.034519071,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.000184469,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.020990723,Dan Sullivan,Republican,U.S. Marine Corps officer; Lawyer; Assistant Secretary of State for Economic and Business Affairs,56,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Joint,Sale (Full),Sale,-0.008529713,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.014942458,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,-0.039325701,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.011119723,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.005684371,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.005684371,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
